"Parameter","Mean","SE","SD","X2.50.","X25.","X50.","X75.","X97.50.","Neff","Rhat","lakeNum","parm","Lake","County","WBIC","N","Latitude","Longitude","Lake.area..ha.","Maximum.depth..m.","hansenAvgWLY","hansenWLYSD","treatyAvgWLY","treatyWLYSD","bassMCPE","bassSDCPE","panMCPE","panSDCPE","yoyMWLYCPE","yoySDWLYCPE","avgdurStrat","gdd10","gdd5","peak_temp","coef_var.0.30","coef_var.30.60","avgIceCover","iceCoverSD","Panfish","Catfish","Largemouth.Bass","Musky","Northern.Pike","Rainbow.Smelt","Smallmouth.Bass","Sturgeon","Trout","Walleye","Cisco","Landlock","publicaccess","accessscore","mroad_dist","Road_dist","Area","Length","MaxDepth","MeanDepth","ripDeveloped","ripForest","ripShrubScrub","ripGrassland","ripPasture","ripCultivated","ripWetlands","Secchi_satellite","Secchi","Calcium","Conductance","Alkalinity","pH","totalP","Color","Dissolved.OC","MEI","HUC10","wshedDeveloped","wshedBarren","wshedForest","wshedShrubScrub","wshedGrassland","wshedPasture","wshedCultivated","wshedWetlands","catch","harvest","release","cpue","avgL","meanNSto","sdNSto","stoLen","stoLenSD","meanLBsto","sdLBsto","sumNSto","sumLBSto"
"b[1]",-0.136601241,0.002581902,0.144719741,-0.420090779,-0.235760492,-0.13802863,-0.038370511,0.150631611,3141.782713,1.0004527,1,"b","Annabelle","Vilas",2953800,12,46.21,-89.68,86.2,9.14,2.995,1.28960157499215,NA,NA,NA,NA,NA,NA,NA,NA,86.2647058823529,1386.18899746746,2268.07597251392,25.992958468473,0.352893434217062,0.143392976013272,151.685714285714,11.9847241706006,1,0,0,1,1,0,1,0,0,1,0,0,1,3,90.228893,16.363988,787028.7073,6715.984788,9,3.6,0.152212389,0.497345133,0,0,0,0,0.350442478,3.177180339,1.8,2.45,27.15,7.09625,6.54,NA,1,NA,7.541666667,402010103,0.028795382,0.000317119,0.677280914,0.002790644,0.003977574,0.000173157,0.000467121,0.28619809,2.54411764705882,0.0158730158730159,3.32,0.00781762390378742,15.2,NA,NA,NA,NA,NA,NA,NA,NA
"b[2]",0.010351518,0.002066059,0.116709187,-0.214371697,-0.067980577,0.010293699,0.088278576,0.241111598,3190.984405,0.999752086,2,"b","Anvil","Vilas",968800,5,45.94,-89.06,161.07,9.75,7.39280701666667,3.75314569048787,NA,NA,NA,NA,NA,NA,NA,NA,91.9117647058823,1419.93218342235,2311.13716257493,25.9100493093076,0.350483610232641,0.137652064340319,149.085714285714,12.0912497008263,1,0,0,0,1,0,1,0,0,1,0,1,1,3,141.757081,25.685582,1525555.636,7291.419389,9.6,5.7,0.121673004,0.583016477,0,0.100126743,0,0,0.195183777,3.663333404,2.7,NA,36,18,7.2,NA,4,NA,6.315789474,707000101,0.040320051,0.000242642,0.570452084,0.009019192,0.015931539,0.002319897,0.019867079,0.341847514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b[3]",0.608860093,0.01119534,0.604150726,-0.586549645,0.211806041,0.606830063,1.011354478,1.794202021,2912.165175,0.999520661,3,"b","Balsam","Polk",2620600,8,45.45,-92.45,831.23,11.28,1.12714285714286,0.393942224432056,0.92,0.555607775323564,109.519266666667,51.6810532835132,18.8923416666667,15.8666498246167,0.09654,0.167212184962699,115.882352941176,1724.83230912728,2692.12257763866,28.067980999034,0.340064660733146,0.144364909960316,134.342857142857,12.9500008111352,1,0,1,0,1,0,0,0,0,1,0,0,1,3,19.076861,0,7695111.36,40283.05484,11.1,4.8,0.082010582,0.749470899,0,0,0.027248677,0.001851852,0.139417989,2.493528435,1.7,18.125,185.9333333,40,8.672676282,0.016,NA,NA,38.7361111,703000508,0.063864433,1.71e-05,0.343899224,0.002386976,0.032232726,0.297814952,0.210138173,0.049646413,0.647120418848168,0.174869109947644,1.84971098265896,0.00186911467713063,19.1122315592904,5618.88888888889,9419.88430739889,4.85925925925926,2.29836024554657,119.943396226415,132.401838108078,303420,6357
"b[4]",-0.063043394,0.00108919,0.06072926,-0.180817497,-0.10384494,-0.062423197,-0.02195047,0.054448061,3108.772818,0.999814652,4,"b","Bass-Patterson","Washburn",2451900,25,45.94,-91.63,76.08,10.67,5.18608353044444,2.42435074918517,NA,NA,NA,NA,NA,NA,NA,NA,132.352941176471,1542.75162620509,2473.38883730761,26.7451624925503,0.335209919663818,0.142792448960674,144.285714285714,12.4795631252989,1,0,1,1,0,0,0,0,0,1,0,1,1,3,2690.85979,3.963162,758209.0264,4711.039505,10.5,4.02,0.021484375,0.8515625,0,0.01171875,0,0,0.115234375,4.415117038,1.9,1,51,16.5,6.65,0.012,4,NA,12.68656716,703000202,0.060196478,0.000374379,0.675448482,0.010670434,0.022943877,0.074644147,0.022952882,0.132769321,2.07365439093484,0.269121813031161,4.13986013986014,0.00825014742984641,14.8691489361702,NA,NA,NA,NA,NA,NA,NA,NA
"b[5]",0.003077741,0.000822316,0.045306606,-0.084854929,-0.027719601,0.002674492,0.032826856,0.09288338,3035.605433,0.999324381,5,"b","Bearskin","Oneida",1523600,15,45.72,-89.68,161.87,7.92,9.457,3.54586472763227,8.31,0.876812408671318,0.24135,0.113773481092916,3.6966775,0.847612434142221,225.0991,2.25271492563971,61.9411764705882,1484.78059977,2396.67140169518,26.8140837042042,0.323982996163908,0.141180669464391,146.142857142857,11.3943816318881,1,0,1,1,1,0,1,0,0,1,0,0,1,3,2186.815457,7.243409,1629661.24,9803.853682,7.8,3.6,0.131991051,0.586129754,0.006711409,0,0,0,0.275167785,1.552840762,2.375,11.29,97.6,46.475,7.1,0.026,4,NA,27.11111111,707000109,0.025503847,0.000351213,0.57797172,0.010443379,0.011577204,0.000931757,0.016232782,0.356988099,5.08238276299113,0.728030788967287,7.68831168831169,0.0180763507803017,13.3360320454287,NA,NA,NA,NA,NA,NA,NA,NA
"b[6]",-0.113753037,0.002893296,0.172673201,-0.460336667,-0.229656752,-0.111681674,0.001725385,0.219302877,3561.756317,0.999196667,6,"b","Big Arbor Vitae","Vilas",1545600,9,45.91,-89.65,441.11,12.5,6.65136304057143,1.49420465847572,7.57,NA,43.1212,NA,13.394925,NA,19.58153,NA,63.1764705882353,1427.87276138281,2336.64040894455,26.05762913377,0.330405606335356,0.142946910223544,144,12.6188467823984,1,0,1,1,0,0,0,0,0,1,0,0,1,3,65.571884,0,4331578.087,13494.88662,12.3,5.4,0.200157604,0.569739953,0.003152088,0.017336485,0,0,0.209613869,1.674757025,3.3,15.37,109.35,51.225,7.735,0.041,4,NA,20.25,707000108,0.075695592,0.001003713,0.574319289,0.002320271,0.0082752,0.001090614,0.018494822,0.318800498,1.28697123519459,0.776831345826235,2.00990099009901,0.00444310273866057,14.3706759179024,NA,NA,NA,NA,NA,NA,NA,NA
"b[7]",-0.037501656,0.001694084,0.098106515,-0.229255995,-0.103241366,-0.039038222,0.027045023,0.155983417,3353.712687,0.999947101,7,"b","Big Crooked","Vilas",2338800,17,46.12,-89.68,276,10.36,3.960289805,2.28767193486179,NA,NA,NA,NA,NA,NA,NA,NA,86.0882352941177,1339.37813134761,2217.44751492043,25.3628773821244,0.337423077757908,0.138372905505826,150.685714285714,11.7617811490573,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1953.755837,28.314004,2692486.028,8038.932557,10.2,NA,0.091139241,0.705063291,0,0,0,0,0.203797468,4.244071034,3.35,5.185,38.25,14.70225,7.358333333,0.0185,4,NA,NA,705000201,0.05795126,6.37e-05,0.530356801,0.016239447,0.004555621,0.000323022,0.003844393,0.386665721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b[8]",-0.272849172,0.007163101,0.385862811,-1.037416706,-0.539350446,-0.272520502,-0.010777873,0.477108717,2901.774933,0.999324437,8,"b","Big","Vilas",2334700,6,46.14,-89.74,337.51,18.59,3.3625,0.481482086894206,NA,NA,NA,NA,NA,NA,NA,NA,120.176470588235,1377.69574057032,2273.26580061018,25.7913448777169,0.386643729522085,0.161149744640607,140.485714285714,12.3058365601603,1,0,1,1,1,0,1,0,0,1,1,0,1,3,143.840045,1.369425,3347132.85,15215.55438,18.3,NA,0.109765329,0.729750189,0,0,0,0,0.160484481,3.310660804,2.77625,18.775,123.14125,57.93925,7.558416667,0.031571429,4,NA,NA,705000201,0.05795126,6.37e-05,0.530356801,0.016239447,0.004555621,0.000323022,0.003844393,0.386665721,2.65333333333333,0.404432132963989,4.46153846153846,0.00734301493129899,16.3405594405594,NA,NA,NA,NA,NA,NA,NA,NA
"b[9]",-0.033912482,0.002665551,0.150151404,-0.3279961,-0.134051688,-0.03305601,0.065883283,0.258369741,3173.108004,0.998887749,9,"b","Big Muskellunge","Vilas",1835300,6,46.02,-89.62,376.36,21.34,6.352,2.32636411595434,NA,NA,NA,NA,NA,NA,NA,NA,131.088235294118,1296.53823131795,2180.85502359475,24.7482112720984,0.354863146899185,0.149222581627108,146.914285714286,12.3678221692456,1,0,1,1,1,0,1,0,0,1,1,0,1,3,165.280069,4.750125,3631625.991,16140.98149,21,7.8,0.085756898,0.725577927,0,0.003728561,0,0,0.184936614,4.514020575,4.716666667,6.11,50.66666667,20.3,7.876666667,0.008166667,4,NA,6.495726496,705000201,0.05795126,6.37e-05,0.530356801,0.016239447,0.004555621,0.000323022,0.003844393,0.386665721,1.85654885654886,0.780645161290323,3.41176470588235,0.00656697527924448,15.2285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"b[10]",-0.497024262,0.005587152,0.327342938,-1.153246407,-0.711221163,-0.491248271,-0.283552814,0.14388291,3432.614404,1.000285043,10,"b","Big Round","Polk",2627400,5,45.51,-92.3,410.76,5.18,2.37333333333333,1.21857840672373,NA,NA,NA,NA,NA,NA,NA,NA,56.7352941176471,1659.54991955407,2597.99766123531,27.9239989939408,0.341302142667028,0.141330668935835,143.342857142857,11.3291473567931,1,0,1,1,1,0,0,0,0,1,0,0,1,3,250.084029,0.042576,4102392.435,8567.570179,5.1,3,0.033783784,0.844594595,0,0.012387387,0.045045045,0,0.064189189,1.184096117,1.95,23.615,204.8954545,97.45,8.15625,0.027,NA,NA,68.29848483,703000507,0.050800101,4.21e-05,0.46311624,0.001538959,0.018794749,0.279022058,0.109822001,0.076863836,0.491743119266055,0.23302752293578,1.49450549450549,0.00115310670203878,19.2166758849558,13383.5277777778,18860.7500267257,4.02777777777778,2.50126951893418,188.84375,336.871192898471,481807,6043
